Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2003-04-11,7.527943,7.527943,7.496363,7.496363,160927.36,1206370.0,99.7,0.0,0,0,0
2003-04-14,7.541477,7.5941095,7.541477,7.5941095,138317.73,1050195.0,101.0,0.0,0,0,0
2003-04-15,7.640727,7.7068934,7.640727,7.684336,622429.8,4780109.0,102.2,0.0,0,0,0
2003-04-16,7.767045,7.8046393,7.767045,7.7730594,13299.782,103502.0,103.38,0.0,0,0,0
2003-04-17,7.8159175,7.8309555,7.8023834,7.8287,25269.586,197581.0,104.12,0.0,0,0,0
2003-04-21,7.8377223,7.8384743,7.8196774,7.825692,107728.234,843667.0,104.08,0.0,0,0,0
2003-04-22,7.82494,7.8520083,7.80088,7.8520083,29259.52,228620.0,104.43,0.0,0,0,0
2003-04-23,7.8572717,7.888851,7.8309555,7.888851,46549.24,365822.0,104.92,0.0,0,0,0
2003-04-24,7.827196,7.827196,7.714412,7.7332096,132997.81,1028700.0,102.85,0.0,0,0,0
2003-04-25,7.6249375,7.6249375,7.5941095,7.605388,151617.52,1152895.0,101.15,0.0,0,0,0
2003-04-28,7.6249375,7.7309537,7.624185,7.7309537,135657.78,1040296.0,102.82,0.0,0,0,0
2003-04-29,7.850505,7.955018,7.850505,7.951258,113048.15,897116.0,105.75,0.0,0,0,0
2003-04-30,7.932461,7.9392276,7.9084005,7.9287014,337814.47,2678917.0,105.45,0.0,0,0,0
2003-05-01,7.9061446,7.937724,7.8948665,7.897874,347124.3,2742478.0,105.04,0.0,0,0,0
2003-05-02,7.923438,8.018929,7.923438,8.018929,99748.37,796659.0,106.65,0.0,0,0,0
2003-05-05,8.049005,8.1069,8.049005,8.105396,70488.84,570140.0,107.8,0.0,0,0,0
2003-05-06,8.105396,8.156525,8.097877,8.14675,162257.34,1316492.0,108.35,0.0,0,0,0
2003-05-07,8.112915,8.133216,8.106148,8.131712,462832.4,3759607.0,108.15,0.0,0,0,0
2003-05-08,8.082839,8.087351,8.052764,8.060283,617109.9,4979569.0,107.2,0.0,0,0,0
2003-05-09,8.071561,8.1610365,8.071561,8.155021,93098.48,757624.0,108.46,0.0,0,0,0
2003-05-12,8.191863,8.268557,8.188105,8.268557,1111861.8,9137195.0,109.97,0.0,0,0,0
2003-05-13,8.239233,8.239233,8.199383,8.221939,408303.3,3362908.0,109.35,0.0,0,0,0
2003-05-14,8.221939,8.221939,8.164795,8.180586,304565.0,2494971.0,108.8,0.0,0,0,0
2003-05-15,8.197126,8.197126,8.176826,8.197126,498741.8,4084481.0,109.02,0.0,0,0,0
2003-05-16,8.203142,8.233218,8.180586,8.203142,379043.78,3113573.0,109.1,0.0,0,0,0
2003-05-19,8.15051,8.15051,7.9775743,8.00765,190186.88,1531803.0,106.5,0.0,0,0,0
2003-05-20,8.026447,8.057275,8.00389,8.047501,78468.71,630328.0,107.03,0.0,0,0,0
2003-05-21,8.033215,8.056523,7.9911084,8.054268,67828.89,545544.0,107.12,0.0,0,0,0
2003-05-22,8.056523,8.127201,8.056523,8.127201,125017.95,1010416.0,108.09,0.0,0,0,0
2003-05-23,8.184344,8.23021,8.184344,8.210661,110388.19,906389.0,109.2,0.0,0,0,0
2003-05-27,8.23021,8.509914,8.23021,8.504651,1276779.0,10667078.0,113.11,0.0,0,0,0
2003-05-28,8.504651,8.553524,8.504651,8.541493,585190.4,4990079.0,113.6,0.0,0,0,0
2003-05-29,8.533975,8.5700655,8.518937,8.552772,453522.56,3878878.0,113.75,0.0,0,0,0
2003-05-30,8.571569,8.652021,8.5542755,8.652021,543961.06,4685663.0,115.07,0.0,0,0,0
2003-06-02,8.676834,8.812175,8.676834,8.714429,868475.75,7606483.0,115.9,0.0,0,0,0
2003-06-03,8.721948,8.721948,8.576833,8.648262,361754.06,3128712.0,115.02,0.0,0,0,0
2003-06-04,8.646758,8.760294,8.646758,8.759542,356434.16,3111895.0,116.5,0.0,0,0,0
2003-06-05,8.7911215,8.7911215,8.711421,8.768565,752767.6,6574401.0,116.62,0.0,0,0,0
2003-06-06,8.815934,8.939997,8.815182,8.850521,899065.25,8006165.0,117.71,0.0,0,0,0
2003-06-09,8.861799,8.861799,8.74676,8.77458,308554.94,2716188.0,116.7,0.0,0,0,0
2003-06-10,8.777587,8.864807,8.777587,8.864807,344464.34,3040862.0,117.9,0.0,0,0,0
2003-06-11,8.861048,8.879093,8.797136,8.872326,434902.88,3838855.0,118.0,0.0,0,0,0
2003-06-12,8.887363,8.939244,8.880597,8.939244,594500.25,5295376.0,118.89,0.0,0,0,0
2003-06-13,8.918191,8.943755,8.911424,8.936236,1026743.2,9166318.0,118.85,0.0,0,0,0
